date,code,open,high,low,close,volume,amount,turn,pctChg,peTTM,psTTM,pcfNcfTTM
2018-01-02,sh.600036,29.02,30.06,29.02,29.62,67591307,2009147017.0,0.327653,0.020675409999999998,10.866575,3.483596,10.982722
2018-01-03,sh.600036,29.74,30.48,29.64,29.97,71850339,2161448686.0,0.348299,0.01181629,10.994978,3.524759,11.112498
2018-01-04,sh.600036,30.28,30.36,29.4,29.65,51686593,1540869738.0,0.250554,-0.01067733,10.877581,3.487124,10.993846
2018-01-05,sh.600036,29.87,30.25,29.46,30.1,47990820,1435732659.0,0.232638,0.015177089999999999,11.042671,3.540048,11.160700
2018-01-08,sh.600036,29.92,30.05,29.31,29.47,65857890,1943542230.0,0.31925,-0.02093027,10.811545,3.465954,10.927104
2018-01-09,sh.600036,29.52,29.91,29.35,29.77,39867797,1179590638.0,0.193261,0.010179879999999999,10.921605,3.501237,11.038340
2018-01-10,sh.600036,29.66,30.77,29.58,30.53,79928286,2428313433.0,0.387457,0.025529069999999997,11.200423,3.590620,11.320139
2018-01-11,sh.600036,30.52,31.15,30.4,30.92,54074486,1668764826.0,0.262129,0.0127743,11.343501,3.636488,11.464746
2018-01-12,sh.600036,31.12,31.58,31.02,31.51,48734315,1528109286.0,0.236242,0.01908151,11.559952,3.705878,11.683511
2018-01-15,sh.600036,31.48,32.4,31.3,31.94,67314601,2148679981.0,0.326311,0.013646469999999999,11.717704,3.756450,11.842949
2018-01-16,sh.600036,31.8,32.28,31.54,31.89,65281903,2080015556.0,0.316458,-0.00156547,11.699361,3.750570,11.824410
2018-01-17,sh.600036,32.1,33.11,31.5,31.69,102654638,3328493188.0,0.497624,-0.00627152,11.625988,3.727048,11.750252
2018-01-18,sh.600036,32.1,32.75,32.1,32.32,81103971,2628880183.0,0.393156,0.019880059999999998,11.857113,3.801142,11.983848
2018-01-19,sh.600036,32.66,33.35,32.21,32.46,84132890,2769050365.0,0.407839,0.00433166,11.908475,3.817607,12.035759
2018-01-22,sh.600036,32.18,33.64,32.15,33.08,94572955,3131534666.0,0.458448,0.01910052,12.135932,3.890525,12.265647
2018-01-23,sh.600036,33.2,34.17,33.2,34.05,86899482,2940790081.0,0.42125,0.02932277,12.491792,4.004606,12.625310
2018-01-24,sh.600036,34.25,35.35,33.45,33.85,117648367,4066613177.0,0.570307,-0.00587374,12.169519,3.862439,12.551153
2018-01-25,sh.600036,34.01,34.02,32.9,33.41,78904029,2631028018.0,0.382492,-0.01299848,12.011333,3.812233,12.388007
2018-01-26,sh.600036,33.19,34.3,33.19,33.47,70667394,2386060809.0,0.342564,0.00179591,12.032904,3.819080,12.410254
2018-01-29,sh.600036,33.5,34.08,32.81,32.98,68492095,2299932912.0,0.332019,-0.01464003,11.856743,3.763168,12.228568
2018-01-30,sh.600036,32.9,33.16,32.41,32.57,36571313,1196780358.0,0.177282,-0.01243177,11.709342,3.716385,12.076545
2018-01-31,sh.600036,32.34,33.99,32.22,33.94,66479420,2209958335.0,0.322263,0.04206322,12.201875,3.872709,12.584524
2018-02-01,sh.600036,34.05,34.92,33.85,34.45,69284961,2378431192.0,0.335863,0.015026580000000001,12.385227,3.930902,12.773625
2018-02-02,sh.600036,34.04,34.58,33.69,34.5,49473207,1690289981.0,0.239824,0.0014513599999999998,12.403203,3.936607,12.792165
2018-02-05,sh.600036,33.83,35.11,33.8,34.89,74328591,2570911068.0,0.360312,0.01130433,12.543413,3.981108,12.936772
2018-02-06,sh.600036,34.1,34.69,33.49,34.62,141691337,4822983754.0,0.686857,-0.007738620000000001,12.446344,3.950300,12.836659
2018-02-07,sh.600036,34.58,34.93,32.1,32.39,150288262,4982015761.0,0.728531,-0.06441362,11.644630,3.695847,12.009803
2018-02-08,sh.600036,31.95,32.38,30.83,31.28,106982961,3355653733.0,0.518606,-0.034269799999999996,11.245570,3.569191,11.598229
2018-02-09,sh.600036,30.33,30.81,28.6,30.71,132753969,3963446850.0,0.643533,-0.018222560000000002,11.040648,3.504151,11.386881
2018-02-12,sh.600036,30.4,30.64,29.4,30.05,87696616,2637441867.0,0.425114,-0.02149137,10.803369,3.428842,11.142161
2018-02-13,sh.600036,30.38,31.27,30.35,30.91,79926773,2463683749.0,0.38745,0.02861899,11.112551,3.526972,11.461038
2018-02-14,sh.600036,30.95,31.47,30.42,31.37,33494293,1042018691.0,0.162366,0.01488195,11.277927,3.579460,11.631600
2018-02-22,sh.600036,31.88,32.2,31.18,31.5,67768109,2144014339.0,0.32851,0.00414406,11.324663,3.594294,11.679803
2018-02-23,sh.600036,31.5,32.1,31.22,31.78,51500754,1626590713.0,0.249653,0.00888891,11.425327,3.626243,11.783623
2018-02-26,sh.600036,31.89,32.35,31.23,31.51,71861812,2272643325.0,0.348354,-0.00849592,11.328259,3.595435,11.683511
2018-02-27,sh.600036,31.57,31.65,30.65,30.87,71533820,2216705983.0,0.346764,-0.02031099,11.098170,3.522408,11.446207
2018-02-28,sh.600036,30.38,30.75,30.01,30.3,53257706,1612634053.0,0.25817,-0.018464579999999998,10.893248,3.457368,11.234858
2018-03-01,sh.600036,30.03,30.86,30.01,30.4,40276961,1226158291.0,0.195245,0.00330034,10.929199,3.468779,11.271937
2018-03-02,sh.600036,30.12,30.46,30.02,30.03,33875997,1021219184.0,0.164216,-0.01217102,10.796179,3.426560,11.134745
2018-03-05,sh.600036,30.1,30.58,29.92,30.15,33620119,1013168739.0,0.162975,0.00399597,10.839321,3.440252,11.179240
2018-03-06,sh.600036,30.39,30.47,29.49,30.04,61883656,1851222444.0,0.299985,-0.00364838,10.799774,3.427701,11.138453
2018-03-07,sh.600036,30.5,31.08,30.35,30.77,84233444,2596877499.0,0.408326,0.02430092,11.062219,3.510997,11.409128
2018-03-08,sh.600036,30.85,31.06,30.41,30.92,40500723,1247826582.0,0.19633,0.00487486,11.116146,3.528113,11.464746
2018-03-09,sh.600036,31.2,31.5,30.98,31.15,35510045,1108939311.0,0.172137,0.00743854,11.198834,3.554357,11.550027
2018-03-12,sh.600036,31.44,31.49,30.8,30.84,58173696,1807020723.0,0.282,-0.00995183,11.087385,3.518985,11.435083
2018-03-13,sh.600036,30.9,31.38,30.63,30.73,37374686,1158438690.0,0.181176,-0.00356682,11.047838,3.506433,11.394296
2018-03-14,sh.600036,30.57,30.6,30.21,30.39,26317599,798808451.0,0.127576,-0.01106411,10.925604,3.467637,11.268229
2018-03-15,sh.600036,30.21,30.68,30.21,30.52,24195976,737285318.0,0.117291,0.00427776,10.972341,3.482471,11.316431
2018-03-16,sh.600036,30.57,30.68,30.1,30.13,36802429,1116503072.0,0.178402,-0.01277855,10.832130,3.437970,11.171824
2018-03-19,sh.600036,30.01,30.74,29.9,30.71,32273332,980755532.0,0.156447,0.01924991,11.040648,3.504151,11.386881
2018-03-20,sh.600036,30.55,31.1,30.51,30.99,38239459,1181777239.0,0.185368,0.00911757,11.141312,3.536100,11.490701
2018-03-21,sh.600036,31.28,31.8,31.12,31.26,58514545,1841756794.0,0.283653,0.0087125,11.238380,3.566908,11.590814
2018-03-22,sh.600036,31.28,31.53,30.56,31.23,44627524,1386451117.0,0.216335,-0.00095971,11.227595,3.563485,11.579690
2018-03-23,sh.600036,30.3,30.4,29.85,30.31,86642819,2611002881.0,0.420006,-0.029458859999999996,10.896843,3.458509,11.238566
2018-03-26,sh.600036,30.26,30.26,28.75,29.11,90578029,2654133430.0,0.439082,-0.03959086,10.465427,3.323493,-10.241044
2018-03-27,sh.600036,29.55,29.69,28.5,28.72,80543133,2327605805.0,0.390437,-0.0133975,10.325217,3.278967,-10.103840
2018-03-28,sh.600036,28.4,29.44,28.25,28.7,78797873,2274733768.0,0.381977,-0.00069633,10.318027,3.276684,-10.096804
2018-03-29,sh.600036,28.73,29.79,28.2,29.31,67949417,1972338359.0,0.329389,0.02125431,10.537330,3.346327,-10.311405
2018-03-30,sh.600036,29.37,29.5,28.98,29.09,35675322,1039897303.0,0.172938,-0.00750595,10.458237,3.321210,-10.234008
2018-04-02,sh.600036,29.0,29.61,28.9,29.01,47738697,1396102301.0,0.231416,-0.00275008,10.429476,3.312076,-10.205863
2018-04-03,sh.600036,28.86,28.97,28.55,28.81,30225398,868475037.0,0.146519,-0.0068942000000000005,10.357573,3.289242,-10.135502
2018-04-04,sh.600036,28.88,29.27,28.62,28.76,37782179,1095425767.0,0.183151,-0.0017354800000000002,10.339597,3.283534,-10.117912
2018-04-09,sh.600036,28.86,29.17,28.64,28.84,27742411,801133246.0,0.134483,0.00278164,10.368358,3.292667,-10.146056
2018-04-10,sh.600036,28.84,30.32,28.61,30.29,58601460,1731213197.0,0.284074,0.050277419999999996,10.889653,3.458214,-10.656174
2018-04-11,sh.600036,30.34,30.95,30.05,30.49,56043306,1709631521.0,0.271673,0.0066028,10.961555,3.481048,-10.726535
2018-04-12,sh.600036,30.5,30.5,29.79,29.93,33767498,1015562874.0,0.16369,-0.01836666,10.760228,3.417113,-10.529524
2018-04-13,sh.600036,30.05,30.35,29.52,29.54,26010873,775003205.0,0.126089,-0.01303038,10.620018,3.372586,-10.392320
2018-04-16,sh.600036,29.2,29.21,27.95,28.11,91462703,2595816036.0,0.443371,-0.04840894,10.105914,3.209323,-9.889239
2018-04-17,sh.600036,28.25,28.29,27.58,27.69,61074971,1702375258.0,0.296064,-0.0149413,9.954918,3.161372,-9.741481
2018-04-18,sh.600036,28.28,28.35,27.36,28.14,65977970,1841953006.0,0.319832,0.01625131,10.116699,3.212748,-9.899793
2018-04-19,sh.600036,28.18,28.75,28.02,28.24,42432862,1205816213.0,0.205696,0.00355367,10.152651,3.224165,-9.934973
2018-04-20,sh.600036,28.05,28.25,27.8,28.21,39799455,1116482350.0,0.19293,-0.0010623499999999999,10.141865,3.220740,-9.924419
2018-04-23,sh.600036,27.93,28.45,27.91,28.29,30152180,851443561.0,0.146164,0.0028359400000000003,10.170626,3.229874,-9.952564
2018-04-24,sh.600036,28.3,29.5,28.3,28.86,67026412,1951397596.0,0.324914,0.020148450000000002,10.375549,3.294951,-10.153093
2018-04-25,sh.600036,28.86,29.09,28.61,28.82,25167546,726053661.0,0.122001,-0.0013860300000000001,10.361168,3.290384,-10.139020
2018-04-26,sh.600036,29.1,29.32,28.55,28.8,33960749,975939725.0,0.164627,-0.00069398,10.353978,3.288101,-10.131984
2018-04-27,sh.600036,28.9,29.44,28.34,29.33,57507932,1664707507.0,0.278773,0.0184028,10.544520,3.348611,-10.318441
2018-05-02,sh.600036,29.98,30.1,29.37,29.56,49057035,1455786499.0,0.237807,0.00784178,10.233759,3.313121,8.589486
2018-05-03,sh.600036,29.34,29.68,28.75,29.3,32174138,938929851.0,0.155966,-0.00879568,10.143746,3.283980,8.513935
2018-05-04,sh.600036,29.28,29.29,28.61,28.74,33769717,975938248.0,0.163701,-0.019112610000000002,9.949873,3.221215,8.351212
2018-05-07,sh.600036,28.77,29.0,28.52,28.93,30749361,885770341.0,0.149059,0.0066110100000000005,10.015651,3.242510,8.406421
2018-05-08,sh.600036,29.0,29.89,28.88,29.68,50312902,1489149737.0,0.243895,0.025924640000000002,10.275303,3.326571,8.624355
2018-05-09,sh.600036,29.7,29.9,29.53,29.75,22262572,661356498.0,0.107919,0.00235848,10.299537,3.334417,8.644695
2018-05-10,sh.600036,30.0,30.19,29.4,29.84,32219188,957420602.0,0.156184,0.00302521,10.330696,3.344504,8.670847
2018-05-11,sh.600036,29.73,30.2,29.68,30.08,43534500,1307245991.0,0.211036,0.00804289,10.413784,3.371403,8.740586
2018-05-14,sh.600036,30.5,31.21,30.3,30.82,70766757,2175818347.0,0.343046,0.02460106,10.669975,3.454343,8.955614
2018-05-15,sh.600036,30.85,30.9,30.32,30.56,32987550,1007130845.0,0.159909,-0.00843609,10.579962,3.425202,8.880064
2018-05-16,sh.600036,30.38,30.41,29.88,29.97,34451912,1038605796.0,0.167008,-0.01930629,10.375702,3.359074,8.708623
2018-05-17,sh.600036,30.0,30.21,29.6,29.8,29046705,867844690.0,0.140806,-0.0056723400000000005,10.316848,3.340021,8.659224
2018-05-18,sh.600036,29.77,30.57,29.57,30.46,39401791,1188037515.0,0.191002,0.022147649999999998,10.545342,3.413994,8.851006
2018-05-21,sh.600036,30.72,30.99,30.14,30.27,41521642,1267521731.0,0.201279,-0.00623764,10.479563,3.392699,8.795796
2018-05-22,sh.600036,30.14,30.24,29.63,29.82,36542624,1088792950.0,0.177142,-0.014866230000000001,10.323772,3.342262,8.665036
2018-05-23,sh.600036,29.8,29.92,29.51,29.61,29651343,880162330.0,0.143737,-0.00704222,10.251069,3.318725,8.604015
2018-05-24,sh.600036,29.6,29.68,29.0,29.1,35522498,1041219094.0,0.172197,-0.01722392,10.074506,3.261564,8.455820
2018-05-25,sh.600036,29.08,29.43,28.99,29.21,25150520,734119737.0,0.121919,0.0037800200000000003,10.112588,3.273893,8.487783
2018-05-28,sh.600036,29.23,29.32,28.41,28.8,60507216,1741562593.0,0.293312,-0.014036280000000002,9.970645,3.227939,8.368646
2018-05-29,sh.600036,28.65,28.98,28.41,28.94,48053415,1376604969.0,0.232942,0.00486116,10.019113,3.243631,8.409327
2018-05-30,sh.600036,28.5,28.63,28.28,28.3,33958888,966502631.0,0.164618,-0.02211477,9.797543,3.171899,8.223357
2018-05-31,sh.600036,28.39,29.02,28.36,28.78,52292583,1500473743.0,0.253491,0.01696118,9.963721,3.225698,8.362835
2018-06-01,sh.600036,28.78,28.98,28.5,28.6,29325987,841358587.0,0.142159,-0.00625435,9.901404,3.205523,8.310531
2018-06-04,sh.600036,28.91,29.28,28.62,29.25,43334396,1257114616.0,0.210066,0.02272726,10.126436,3.278376,8.499406
2018-06-05,sh.600036,29.17,29.35,28.9,29.26,37288225,1087160936.0,0.180757,0.00034188999999999997,10.129898,3.279497,8.502312
2018-06-06,sh.600036,29.17,29.26,28.76,28.8,34560815,1000091941.0,0.167536,-0.01572116,9.970645,3.227939,8.368646
2018-06-07,sh.600036,28.9,29.27,28.76,28.9,49443068,1435268845.0,0.239678,0.0034722399999999997,10.005265,3.239148,8.397704
2018-06-08,sh.600036,28.75,28.78,28.18,28.2,42621627,1209479170.0,0.206611,-0.02422142,9.762923,3.160691,8.194300
2018-06-11,sh.600036,28.2,28.65,27.94,28.63,37833156,1070796378.0,0.183398,0.01524817,9.911790,3.208886,8.319248
2018-06-12,sh.600036,28.62,28.96,28.62,28.74,31197155,898564345.0,0.15123,0.00384215,9.949873,3.221215,8.351212
2018-06-13,sh.600036,28.75,28.97,28.6,28.71,26753233,770378532.0,0.129688,-0.00104386,9.939486,3.217852,8.342494
2018-06-14,sh.600036,28.65,29.05,28.43,28.57,34338356,984047476.0,0.166457,-0.00487633,9.891018,3.202161,8.301813
2018-06-15,sh.600036,28.47,29.08,28.42,28.94,41954931,1213019309.0,0.203379,0.012950680000000001,10.019113,3.243631,8.409327
2018-06-19,sh.600036,28.64,29.24,28.45,28.99,120609433,3483188942.0,0.584661,0.00172769,10.036423,3.249235,8.423856
2018-06-20,sh.600036,28.78,28.88,28.32,28.51,36452637,1040634032.0,0.176706,-0.01655742,9.870246,3.195436,8.284379
2018-06-21,sh.600036,28.52,29.06,28.5,28.65,31621666,910748282.0,0.153288,0.00491054,9.918714,3.211127,8.325060
2018-06-22,sh.600036,28.67,28.78,28.28,28.62,22199749,634077528.0,0.107615,-0.00104708,9.908328,3.207765,8.316342
2018-06-25,sh.600036,28.68,28.71,27.65,27.67,48216015,1355187817.0,0.23373,-0.033193600000000004,9.579435,3.101288,8.040293
2018-06-26,sh.600036,27.48,27.49,26.2,26.9,62322818,1669754262.0,0.302113,-0.027827989999999997,9.312859,3.014985,7.816548
2018-06-27,sh.600036,26.68,26.88,26.1,26.33,44268936,1171600530.0,0.214596,-0.02118958,9.115523,2.951099,7.650919
2018-06-28,sh.600036,26.25,26.3,25.6,25.85,43970014,1140542154.0,0.213147,-0.01823014,8.949346,2.897300,7.511441
2018-06-29,sh.600036,25.98,26.59,25.97,26.44,30911069,814179727.0,0.149843,0.02282399,9.153606,2.963428,7.682882
2018-07-02,sh.600036,26.44,26.73,25.3,25.44,43518710,1124749500.0,0.210959,-0.03782148,8.807403,2.851346,7.392304
2018-07-03,sh.600036,25.44,25.47,24.7,25.22,65858403,1654664571.0,0.319252,-0.00864785,8.731238,2.826689,7.328377
2018-07-04,sh.600036,25.18,25.51,24.96,25.05,36964950,930211549.0,0.17919,-0.00674068,8.672384,2.807635,7.278979
2018-07-05,sh.600036,25.17,25.52,24.94,25.44,49592511,1252366553.0,0.240403,0.01556891,8.807403,2.851346,7.392304
2018-07-06,sh.600036,25.49,26.18,24.98,25.84,44125891,1131470156.0,0.213903,0.01572325,8.945884,2.896179,7.508535
